Date,Close,Volume,return_5d,return_10d,return_20d,rsi_14,macd_hist,hist_vol_20d,bb_width,bb_position,atr_14,volume_ratio_20d,obv_change_20d,excess_return_5d,excess_return_20d,future_return,label,short_qty,short_weight,short_value,short_total_volume,short_qty_3d,short_qty_5d,short_weight_5d_avg,short_covering_signal
2025-01-13,55112.73828125,1097651,0.059273422418587796,0.12259370793912083,0.1650894024376035,75.2809144090128,976.956490527089,0.3714933872822347,0.20380370728792951,0.916276700949892,2131.7458238284453,0.9621484576230375,0.004638919174930756,0.05890367586812495,0.14582641123592577,0.010830286016709545,1.0,10238.0,0.93,564271.0,1097651.0,31853.0,43000.0,0.726,0
2025-01-14,57102.3671875,2032084,0.030520691122941646,0.17743591610601372,0.15609269584790786,80.06644188891582,1035.3380593328795,0.3620432889907811,0.22819485949668153,1.0063123517467452,2288.0738586844313,1.767692296116061,0.004873452403742595,0.028394049142354882,0.14993675478347424,0.006968638969788721,1.0,5393.0,0.27,307715.0,2032084.0,28879.0,51230.0,0.868,0
2025-01-15,56008.0703125,948583,0.02363641127491256,0.1327968703411,0.12825655891517274,71.8213017614149,950.4935342657868,0.3742311847756282,0.2395880096300673,0.8647820470324689,2256.0977041780434,0.8346286836646487,0.0018233109091891908,0.03325144856687079,0.127314432084896,0.024866742836865185,1.0,3878.0,0.41,220621.0,948583.0,29399.0,47484.0,0.844,0
2025-01-16,55908.58984375,793015,0.03881704941563191,0.0786948519422892,0.13420790162410312,74.9103987043032,841.6458504573344,0.37221415306407096,0.2460159417698111,0.8192459270380734,2224.1215215545276,0.7091838012248168,0.0023437724631647505,0.03660043174360239,0.11873161224148499,0.005338024212094616,1.0,5408.0,0.68,303396.0,793015.0,19509.0,38150.0,0.6599999999999999,0
2025-01-17,56405.99609375,660679,0.036563060143181225,0.09038460696215211,0.1690721540980049,75.60975342798609,759.6330620295453,0.3574797089608573,0.2470265565182895,0.8223950071533119,2256.0977070469476,0.6067726224344112,0.005047639700024087,0.03347454706144681,0.14190685086224053,0.044091680468090644,1.0,3215.0,0.49,180817.0,660679.0,14679.0,38685.0,0.748,0
2025-01-20,55709.625,694009,0.010830286016709545,0.07074565655328002,0.15583076138315888,75.08650772903829,620.8236734342154,0.3635084036395025,0.2407634542644209,0.7438127250114722,2156.616231134467,0.642593875243128,0.005303940857282807,-0.001416853846064603,0.14149342116121977,0.05714284111587542,1.0,1820.0,0.26,102203.0,694009.0,12501.0,28132.0,0.556,0
2025-01-21,57500.29296875,1207909,0.006968638969788721,0.03770201777027449,0.18807819645483148,76.4705988028716,610.993933769218,0.3735148536961261,0.23984435175857707,0.8475615889728191,2217.0158093154055,1.0966213935812401,0.0059055496438036315,-0.0012920032020009575,0.15437439545881704,-0.015570980446770855,0.0,2939.0,0.24,169144.0,1207909.0,10443.0,19714.0,0.422,1
2025-01-22,57400.80859375,1065227,0.024866742836865185,0.049090914672537345,0.19338154577538536,71.53845178002285,560.5037448948121,0.3714659682197294,0.23125534440565793,0.8117425193629577,2110.4282820288904,0.9496209947571587,0.005337417958009016,0.0047410629410136185,0.13393843197009447,0.03639518906494055,1.0,801.0,0.08,46386.0,1065227.0,7974.0,17260.0,0.41600000000000004,1
2025-01-23,56207.03125,887769,0.005338024212094616,0.044362279977349095,0.1311311035898024,65.95743555068891,416.06243110103446,0.3746059018048192,0.2235603923039313,0.6943372643621855,2195.698110692173,0.7936733141586323,0.002729570596099684,0.010085817495694371,0.10104114483660243,0.0814160122315657,1.0,2242.0,0.25,127628.0,887769.0,5560.0,14183.0,0.35,1
2025-01-24,58893.03125,1603087,0.044091680468090644,0.08226686737604072,0.20203045232002492,70.90907922661489,466.95626046014524,0.3936045681771071,0.21934512684306157,0.8800229641170761,2295.1795947551504,1.3816133446436194,0.006089300506482154,0.038841140655673456,0.16257983174475643,0.2077703643841562,1.0,7880.0,0.49,466480.0,1603087.0,5982.0,11017.0,0.264,1
2025-01-31,58893.03125,840667,0.05714284111587542,0.06859200044567726,0.19959465605439553,63.35877336332344,465.1359018564515,0.39418319614288017,0.2095086452955415,0.8516772212939001,2124.640132621538,0.7183393106859153,0.005177452595352072,0.058206284931950125,0.16349913767845936,0.34459470215332133,1.0,5739.0,0.68,337546.0,840667.0,10923.0,15682.0,0.264,0
2025-02-03,56604.95703125,777952,-0.015570980446770855,-0.008710850018121219,0.1671794484348652,56.46258448887834,283.2910475975227,0.42384252046925064,0.17904566897214858,0.636247983292376,2245.4390327196825,0.6773656408500716,0.005803934179378301,0.009877515948998328,0.14672845676364843,0.38312823061198054,1.0,8642.0,1.11,491823.0,777952.0,15861.0,19601.0,0.348,0
2025-02-04,59489.921875,1352416,0.03639518906494055,0.062166961708782775,0.20321941000342414,67.06586403964793,327.6285250654621,0.4490470065661815,0.1606564273007311,0.916444964620441,2217.0159967215477,1.146541709454474,0.006677221308678982,0.062060118702913614,0.1689621505414476,0.31772582278248285,1.0,14923.0,1.1,892503.0,1352416.0,22261.0,25304.0,0.522,0
