Date,Close,return_5d,return_10d,return_20d,rsi_14,macd_hist,hist_vol_20d,bb_width,bb_position,atr_14,volume_ratio_20d,obv_change_20d,excess_return_5d,excess_return_20d,future_return,label
2015-02-03,0.4819437265396118,0.024452536895588572,0.004495441200732309,0.016169892962306198,54.79749241602476,-0.0005821092929823015,0.33684548500499706,0.0946319430363421,0.645698348162706,0.013129616812999218,0.858974406993599,0.6281926931781443,0.014575310712741318,1.3142392985221463e-05,0.09995010929206405,1.0
2015-02-04,0.48314186930656433,0.04401839202804325,-0.006896660300427571,0.05054688337874369,54.506396193319624,9.050875611533809e-05,0.3158422036642648,0.09024481213195304,0.6532417387619602,0.013129618677421382,0.8530801232462877,-0.644219591828483,0.027047687701386103,0.023556469244344402,0.10019837090232753,1.0
2015-02-05,0.49105072021484375,0.03589511391972611,-0.007747934475306417,0.07053315538898564,59.17527390915173,0.0010196836542894256,0.31881620302992203,0.0865828439825435,0.8111390014872436,0.01300981005798267,0.6894533972937894,-0.9995261482542744,0.018452707920491696,0.04588406024015179,0.09028794687941821,1.0
2015-02-06,0.4888938367366791,0.06250035622739891,-0.01496832411273441,0.027190768369555807,54.80351823030648,0.0014162588131206443,0.2932236216986848,0.08860022966650585,0.7375487155216377,0.012889985847340104,1.0523758488030777,-0.5138514884355749,0.03895040790773652,0.025457315733772523,0.08627402572029541,1.0
2015-02-09,0.4884142577648163,0.03873573688099197,-0.011639503703623766,0.022065973031017982,53.964670528616345,0.0015620353631562115,0.2931912578896748,0.09025910948818974,0.7096555547643201,0.012633211996985416,1.3477078870803172,1.1623521435835222,0.028189854037212525,0.01740193907189269,0.09891623149773099,1.0
2015-02-10,0.502074658870697,0.041770296452713795,0.06724422306345201,0.0639918583307102,56.72877462994102,0.002441794656767922,0.30300869541351305,0.09802279418796077,0.9502289526564328,0.012753038514834919,1.1032178080200858,-0.3767617174696821,0.0291004162617039,0.03763862805258533,0.060871273705498385,1.0
2015-02-11,0.49871954321861267,0.03224244244119512,0.0776800949405565,0.05849478025177168,51.731604062050494,0.0026440258064494293,0.30464250582562535,0.10115186476350486,0.8380216354317837,0.012325083734523892,1.5332780873021108,-0.11082534343273143,0.014331619838413356,0.028530138874264477,0.07090254592213308,1.0
2015-02-12,0.5344277620315552,0.08833515567950534,0.12740107007546397,0.1296856571457874,63.14040709224436,0.0048978986272210315,0.3900538072712248,0.13737448977299196,1.236921897965468,0.01479007812435105,2.876427794397607,-1.1963513001716373,0.06892113210621242,0.08263349274812071,-0.00695310504661395,0.0
2015-02-13,0.5346675515174866,0.09362710539847008,0.16197918906581377,0.13826509937005582,64.15403134876686,0.006044873362268461,0.387504544269896,0.16006456075794956,1.0897953174043937,0.015132440312393275,1.2846002412737132,-1.59468167067448,0.062128929763565655,0.06759505943111344,0.01689933806624655,1.0
2015-02-17,0.5363452434539795,0.09813592647461822,0.14067303078210314,0.12124253047945666,77.22766840271365,0.006515925596514118,0.38522683397737556,0.17982352206180857,1.0080620023628915,0.01398551691033272,0.838595000762959,-2.2125299712593485,0.06147492438222457,0.06408490779488907,-0.005120810634803186,0.0
2015-02-18,0.5301140546798706,0.055847064403214075,0.09995010929206405,0.10489487033212552,78.15608404295352,0.006019051962722097,0.39020710852178053,0.1904259866755339,0.8843338146385674,0.013403501954795446,0.700580716285055,-2.2102732264489364,0.031049936137039547,0.050863105538746956,0.017919035628937596,1.0
2015-02-19,0.5315518975257874,0.06583330201034987,0.10019837090232753,0.09261067647513044,76.20061542104047,0.005417249128394209,0.38892246846297823,0.2005697134755268,0.8550519076396937,0.012889958465240674,0.6908778934732117,-3.7859990490472186,0.0401062901072502,0.03748808674805426,0.03462708572060369,1.0
2015-02-20,0.5353866815567017,0.0017942921256584032,0.09028794687941821,0.08184046730778016,87.74008482409224,0.004921846383168758,0.3862603416625966,0.21171385215600952,0.8521517683987787,0.012290822775304454,0.6435085394846123,-13.998644435407348,-0.018454421610289762,0.03856615004481112,0.013286355006257855,1.0
2015-02-23,0.5310726761817932,-0.00672357117145117,0.08627402572029541,0.07001432402806929,82.39748957027734,0.003987848396683204,0.3887073717150931,0.21892323062022326,0.7840849495642973,0.01148629089915217,0.5094606908985986,9.457980456026059,-0.020440891974150333,0.027329275848333,0.02423556841862018,1.0
2015-02-24,0.5367263555526733,0.0007105723474669645,0.09891623149773099,0.08612539195124103,81.1774499281538,0.003454934368780105,0.3882490695143915,0.22719490094257322,0.8034882086546545,0.011214703401613624,0.6066967531755348,-12.017204899777283,-0.013342561564682054,0.0449748811948012,0.030927705681452977,1.0
2015-02-25,0.5326365828514099,0.004758463106703692,0.060871273705498385,0.1322087382761592,77.2704746910582,0.002571669386718973,0.3392874134863734,0.22385952549547303,0.7424557150642352,0.011011132347135296,0.5280787605886572,-2.5534542611706237,-0.0076295954807581445,0.0711940770097379,0.03342330860496112,1.0
2015-02-26,0.5340800285339355,0.00475613203511438,0.07090254592213308,0.15409035736144805,75.52686517343412,0.0018623691398220593,0.32893998076565245,0.21315704771931424,0.7332784327291707,0.010961805192701133,0.669049376005014,-2.1679733984706395,-0.008075094009142525,0.07864821870612526,0.021171209779589528,1.0
2015-02-27,0.530711829662323,-0.008731729898072804,-0.00695310504661395,0.11956213200556443,74.45676480543578,0.0009879766791202615,0.3259703855713276,0.20513552768695065,0.681962879767486,0.01065513674929619,0.7012516307711488,-2.4192253026696577,-0.010257076093628692,0.059751092707109876,0.029011439636283942,1.0
2015-03-02,0.5437030792236328,0.023782814684888853,0.01689933806624655,0.18161586820777975,78.20703265759772,0.001097714696464136,0.30417149488818723,0.18752863368389047,0.7885463202579968,0.01144751851870968,1.3415284183586753,-2.260217200434819,0.01428268048301784,0.10117562251865353,0.016371506400474356,1.0
2015-03-03,0.5335987210273743,-0.005827242305026181,-0.005120810634803186,0.13483186019524096,66.68834410263304,0.00034212433809335113,0.3143932830177819,0.16912163011160533,0.6667542567968786,0.011176866922970029,0.7295340634861704,-2.5900366172900045,-0.008198317254582643,0.0699975511569284,0.04824189892632069,1.0
2015-03-04,0.5396131873130798,0.0130982450066075,0.017919035628937596,0.11966015449052247,71.05560443735581,0.00011165816451558577,0.3074132855308714,0.15765015012182615,0.7159576616562993,0.011419617485612115,1.0219942313462624,-4.198955023828436,0.013098245006607057,0.06902287526712247,0.01961647402958966,1.0
2015-03-05,0.5499579906463623,0.02972955599184668,0.03462708572060369,0.13829503420123102,60.823171491568395,0.0004985085766426884,0.31068646303182146,0.14729533608859377,0.8202095644204349,0.009437421934902601,1.4105080791074909,-10.617950393499447,0.03074803835327722,0.08187638297007704,0.015747774626077016,1.0
2015-03-06,0.5425000190734863,0.02221203438910302,0.013286355006257855,0.10477389960070216,54.959551988357376,0.00011473402156943029,0.3164112814273324,0.13589626634012458,0.705522877225913,0.009268424719225874,1.0958334894398218,-3226.5882352941176,0.02949710560533436,0.07072004633305218,0.040798361613950895,1.0
2015-03-09,0.5439435243606567,0.0004422361141807052,0.02423556841862018,0.11260049419200957,54.825575497138985,-0.00016412528143247215,0.3145669768629112,0.11868953082724483,0.713308578500428,0.00911614406940989,0.9444205684155811,-7.255633963123151,0.013553027625861636,0.07085864208450299,0.0044232553256911,0.0
2015-03-10,0.5533260703086853,0.03697038336847691,0.030927705681452977,0.13290318927406441,64.17430220953332,0.000144417631119189,0.31621361708479645,0.09794725298982646,0.8742952081692755,0.009513424111541522,2.12466399880712,-4.808311744030627,0.06108931459934808,0.10459595334523408,-0.026087141051898577,0.0
2015-03-11,0.5504390597343445,0.02006228290151757,0.03342330860496112,0.09632910167669517,61.33277827132519,2.1614952858524383e-05,0.30808679159842994,0.08390112780076547,0.8170550151998891,0.009722002795983111,1.0487535149166902,-7.125891324186788,0.043657388351858506,0.08331646854044661,-0.08041941193318558,0.0
2015-03-12,0.5453871488571167,-0.008311256254088684,0.021171209779589528,0.09357484837534713,55.91415208867069,-0.0005033174104326077,0.3094428454696634,0.053240554086801915,0.7398864826597991,0.010222635129297894,1.6007281257448618,-3.0316445647146537,0.009654513758930006,0.07439001050030036,-0.07498930610209009,0.0
