Date,Close,Volume,return_5d,return_10d,return_20d,rsi_14,macd_hist,hist_vol_20d,bb_width,bb_position,atr_14,volume_ratio_20d,obv_change_20d,excess_return_5d,excess_return_20d,future_return,label,inst_net,foreign_net,foreign_net_3d,foreign_net_5d,inst_net_3d,inst_net_5d,foreign_net_ratio_5d,inst_net_ratio_5d,smart_money_aligned
2015-03-04,22062.0859375,11603100,0.04205955275470141,0.0558413725597231,0.05274769415875302,59.63299111772213,88.9000884252344,0.22727651921268524,0.07015855864956574,1.1264703172981951,375.04960321294675,1.174436414806395,-0.15832407652831704,0.03813079800106278,0.027594544219166073,-0.011830515940986164,0.0,-7361222000.0,26171833000.0,82910819200.0,123107271200.0,56182343800.0,23224002800.0,0.029393247166710507,0.00554499216696777,1
2015-03-05,21831.787109375,9615600,0.0341816684669598,0.03493457099732411,0.03947365851485651,60.18513283342639,88.22895190533004,0.23200131485662157,0.07565011243952915,0.9102097881365155,378.33950587477585,0.9777468434296893,-0.37651237690573514,0.031522443074609274,0.016069951857932807,-0.0007031747984299619,0.0,12338137000.0,-7615747000.0,105889563200.0,128212697200.0,53750224800.0,30277767800.0,0.03069315938366793,0.007248270827790437,1
2015-03-06,22138.84765625,11733500,0.06263815475357348,0.047203996767597456,0.05563698222278601,70.4224662328626,101.38126847520459,0.2354165710690252,0.08499435836469851,1.0019269049197126,399.1754788456622,1.157332232568198,-0.18336418727551784,0.04897117322935518,0.02439659733319921,0.022191442679325935,1.0,1140607000.0,49759470000.0,18227879200.0,101466905200.0,3086115800.0,61159258800.0,0.023496291824039558,0.014162408813733676,1
2015-03-09,21801.080078125,7814600,-0.0021083992945659658,0.03877107305107219,0.04488565810652867,66.96414424084438,81.12589854959796,0.24258634467535817,0.0863616320276347,0.7836207374791371,393.6926216280681,0.7765917405265741,-0.1861814622299951,-0.00011015600271435666,0.029586055689091006,0.019014073718573776,1.0,37062258000.0,-43940095000.0,68315556000.0,148033286200.0,6117522000.0,67228968800.0,0.03447328226431181,0.015655960070019792,1
2015-03-10,21816.435546875,10419850,0.002115474588960442,0.03950272564321344,0.046391915307756326,64.42291990436891,63.34364346383012,0.24240048302443387,0.08676191048753243,0.7638354814402533,400.2722512824236,1.0170509782180073,0.06706548843080373,0.010414740750827933,0.03004134164591199,0.025334254251225374,1.0,-8531518000.0,20150546000.0,-1796372000.0,24047254200.0,50541002000.0,41288980800.0,0.005489849693788746,0.009426036615928042,0
2015-03-11,22630.140625,21108650,0.025748004477421205,0.06889050678476893,0.07434435744990187,70.16118276613469,98.84809804636055,0.2713168468704532,0.10116372088081421,1.0650385962284439,452.91069010524836,1.9365129895030797,0.24429393430831925,0.03448551638335218,0.06140154107847584,-0.00271364448271072,0.0,-29826548000.0,128365291000.0,25969921000.0,44526007000.0,29671347000.0,34648262000.0,0.009495064900954881,0.0073886593153365135,1
2015-03-12,22215.607421875,19153200,0.01758080135982909,0.052363410950253986,0.037275711885098595,62.86747235889473,87.28183520515995,0.27746946664450894,0.10647076187688172,0.8368529603054137,468.2639613616676,1.6766746984787704,-0.1322171343144829,0.03148708494683339,0.02515965342576898,0.034554377460736196,1.0,-27069665000.0,-6533415000.0,104575742000.0,146719465000.0,-1295808000.0,12182936000.0,0.029768431580387535,0.002471839007620701,0
2015-03-13,22369.138671875,9413100,0.010402122965058158,0.07369184750668256,0.05732955256206029,66.54403545548001,82.8724945431386,0.2727836263111039,0.1119597499675185,0.8580106292314177,477.03721512027835,0.8137180003911648,0.07399856187265796,0.02388980920212669,0.03153737023030412,0.03157173068818042,1.0,7067464000.0,21547638000.0,141982422000.0,147801797000.0,-65427731000.0,-27224866000.0,0.029552492329760892,-0.0054435240976384615,0
2015-03-16,22568.73046875,8974550,0.03521157611797654,0.03302893676116292,0.0848712103949889,68.07011889877691,85.93071229128111,0.26333730586607107,0.11528976288599528,0.8909574099655256,484.7136633234703,0.7791726898216278,0.3859494971663364,0.03796646134712056,0.06347530870020734,0.0,0.0,-10024687000.0,28261719000.0,143379514000.0,119589965000.0,-49828749000.0,-21298009000.0,0.023935279777707093,-0.004262680435796797,0
2015-03-17,22983.25390625,13661150,0.05348345548327371,0.05571207296323899,0.11383941037083534,69.66653577665132,107.02971586232132,0.2636737834002162,0.12019286510803774,0.9868137521332871,508.8391994170862,1.1712537983774014,0.9313672968335047,0.03074025893947563,0.06837244237236617,-0.022044158170189454,0.0,39862297000.0,101936700000.0,43275942000.0,191791779000.0,-30026888000.0,-68384954000.0,0.037690588943287376,-0.013438892973194727,0
2015-03-18,23075.37109375,12464350,0.019674224571903265,0.045928801071691394,0.10433490092328035,71.19192395747987,117.51113379985588,0.26236208441083925,0.12642537143727128,0.9543815133983882,517.6122695984224,1.0421026405490617,0.9290955393027247,-0.004366200993971336,0.06808971513943574,-0.02395207958972767,0.0,15504449000.0,49721341000.0,151746057000.0,273577933000.0,36905074000.0,-19991139000.0,0.052210454531940995,-0.0038151704794158687,1
