Date,Close,Volume,return_5d,return_10d,return_20d,rsi_14,macd_hist,hist_vol_20d,bb_width,bb_position,atr_14,volume_ratio_20d,obv_change_20d,excess_return_5d,excess_return_20d,future_return,label,inst_net,foreign_net,foreign_net_3d,foreign_net_5d,inst_net_3d,inst_net_5d,foreign_net_ratio_5d,inst_net_ratio_5d,smart_money_aligned
2015-03-04,18877.48046875,404774,0.05540163270930787,0.09482766432717282,0.1407186102245659,79.66088672149297,196.68087405979273,0.24091971365056752,0.11404626176207519,1.148822398408787,389.29950200724227,1.9355346193893446,-0.9718241247523207,0.05147287795566924,0.11556546028497894,0.0026247585426997233,0.0,395505500,-261370650,-238962400.0,-106078200.0,-283404650.0,-628941900.0,-0.001441721094691395,-0.008548022162567672,0
2015-03-05,18927.029296875,393035,0.049450553020723875,0.09142866024309204,0.14029867501089033,78.94725558647627,213.06794804724717,0.24099887938268813,0.12014305521280273,1.0803785259768672,417.61218830028986,1.9083287490586658,-1.1260731616274728,0.04679132762837357,0.11689496835396662,0.03141351153417227,1.0,-163514550,-52413500,-197556300.0,-523258150.0,106726900.0,97059950.0,-0.007124936399982355,0.0013216152882386397,0
2015-03-06,19026.12109375,166680,0.06666668126647823,0.0816901790055784,0.10982644603147751,78.947241027088,218.77029041941347,0.22031889325767423,0.133166112457501,1.0229395421152034,417.6121873873711,0.8369993062667737,-1.220854950743531,0.05299969974225971,0.07858606114189093,0.02864595897868205,1.0,174924050,22986850,-244894850.0,-552746550.0,73607050.0,-51413700.0,-0.007739744467067254,-0.00071991204668117,0
2015-03-09,19273.859375,167110,0.06284166924526868,0.08963582248423352,0.11142864447529677,89.28555339062271,226.4643734259164,0.22092806743258614,0.1494799110332635,1.0198803152209044,424.69052075417704,0.8518021725007716,-1.333013505616619,0.06483991253711996,0.09612904205785977,0.015424165826933622,1.0,100353500,-120775700,-290797300.0,-226982950.0,406915000.0,118136400.0,-0.003209856593364225,0.0016706140371173844,0
2015-03-10,18877.48046875,172696,0.035326074148913866,0.07323952826749558,0.08547009986832088,77.04905955930533,193.3812920834005,0.23936288167027636,0.1543162585921158,0.8316530976774741,442.38594853307274,0.8819630797720122,-1.268812958883053,0.043625340310781135,0.06911952620647743,0.03674548150232737,1.0,251619000,46381700,-150202350.0,-342683700.0,111763000.0,348884600.0,-0.004837399155150481,0.004924932435610487,0
2015-03-11,18927.029296875,161589,0.0026247585426997233,0.058171807160740885,0.07002799666756299,76.66654840884095,164.49145506068436,0.23449979447049885,0.16029737678275494,0.8138933337410902,467.1595491051324,0.8435145316492171,-1.4198185551486038,0.011362270448630696,0.05708518029613763,0.03926686361962295,1.0,738910950,77866050,-51407150.0,-365191300.0,526896550.0,758887500.0,-0.0052515395042577176,0.010912986386963157,0
2015-03-12,19521.59375,345103,0.03141351153417227,0.08241748007258387,0.1387282203070732,79.10435818612382,174.15102996824703,0.21714431884834218,0.16862864013719492,0.9519319541184751,481.31575967518336,1.7478450311568015,-1.5635603299178547,0.04531979512117679,0.12661216184774426,0.015228428935265548,1.0,1477844850,-128102850,3472050.0,-25954600.0,1090883450.0,1102292950.0,-0.00035860711690332235,0.015230059287461878,1
2015-03-13,19571.142578125,392264,0.02864595897868205,0.09722237126196465,0.13180521261166067,78.78774847608501,172.28770921309354,0.21746149966264233,0.1754798321943178,0.9114672124877463,491.93301555201987,1.8692781460472432,-1.8609848458677716,0.04213364521575014,0.10601303027990494,0.027848120214462035,1.0,1200258900,686952800,-3855100.0,-101643950.0,2468374800.0,2743652350.0,-0.001310526555055143,0.03537474943185942,0
2015-03-16,19571.142578125,204038,0.015424165826933622,0.07923511539948258,0.12535622134436175,81.24993840726106,159.7449700497546,0.21860832908047814,0.17976962992608736,0.8662423182126888,506.0893601663832,0.9568653676199381,-1.941580364177386,0.018179051056077644,0.10396031964958108,0.03797463680432722,1.0,-91407050,276158450,636716000.0,562322000.0,3417014700.0,3768987200.0,0.007101561798278219,0.047598520985697855,1
2015-03-17,19571.142578125,174158,0.03674548150232737,0.07336962925543022,0.14492763724380753,79.31026983235896,140.80199833588415,0.20247027648670862,0.1754033538110968,0.8346427532954693,502.5501337474278,0.8040565246778381,-1.8771756936623323,0.014002284958529065,0.09946066924533792,0.030379649565762,1.0,-310540250,569083550,835008400.0,959256150.0,2586696700.0,3577226650.0,0.011877249881228374,0.04429225166170629,1
