Date,Close,Volume,return_5d,return_10d,return_20d,rsi_14,macd_hist,hist_vol_20d,bb_width,bb_position,atr_14,volume_ratio_20d,obv_change_20d,excess_return_5d,excess_return_20d,future_return,label,short_qty,short_weight,short_value,short_total_volume,short_qty_3d,short_qty_5d,short_weight_5d_avg,short_covering_signal
2025-01-13,52790.140625,16868600,-0.03220041363743131,0.016210535513366375,0.008682900054135079,55.88706666403195,213.6930213738926,0.31427161929411684,0.09414134071632335,0.42771119990307227,1419.8336507568627,0.9346648953102982,0.0007298469798657781,-0.03257016018789394,-0.010580091147541992,-0.012938983930770642,0.0,166378.0,0.99,9052667.0,16868600.0,686726.0,882944.0,0.982,0
2025-01-14,52594.984375,17465926,-0.027075905663840327,0.0037242933075360973,-0.029203601523964617,55.40404788506924,102.49395786046824,0.28664104974612803,0.09289802278403146,0.403097085990128,1399.490063204894,1.0126810545041591,-0.07363643388828378,-0.02920254764442687,-0.03535954258839746,-0.0074210973658075385,0.0,17825.0,0.1,962976.0,17465926.0,841128.0,1027923.0,1.158,0
2025-01-15,52399.83203125,18625025,-0.06282719221095567,0.009398503595632546,-0.03625382418659773,52.476866603023886,15.413588640978695,0.28615435623877467,0.0907414283879341,0.38051473507619443,1413.901374466161,1.0714491220622397,-0.12121130514917433,-0.05321215491899778,-0.03719595101687412,0.011173178110587045,1.0,77839.0,0.42,4191361.0,18625025.0,637781.0,870929.0,0.9719999999999999,0
2025-01-16,52985.3046875,18627298,-0.032085544325658244,0.01685403745216707,-0.016722100124118122,51.21375945214743,-2.202220272546292,0.2883048349841509,0.08936294565182265,0.5118749115840349,1435.2837018973873,1.0613527938877587,-0.07448597097220055,-0.034302161997687874,-0.03219838950673648,-0.011049717647242718,0.0,61444.0,0.33,3348780.0,18627298.0,262042.0,936792.0,1.0459999999999998,0
2025-01-17,52399.83203125,18805344,-0.028933029651936004,-0.012867555209398751,-0.0024693691734800627,52.131120476297866,-50.07751372300312,0.2765043985018393,0.08957493058121775,0.3897131104408054,1435.8029213849284,1.075818748594825,-0.07462996262238575,-0.03202154273367075,-0.029634672409244223,0.0,0.0,58654.0,0.31,3142297.0,18805344.0,157108.0,777064.0,0.932,0
2025-01-20,52107.08984375,11822531,-0.012938983930770642,-0.044722756933583074,-0.020690185277538187,48.59810286889263,-95.61365243743795,0.2728356557953056,0.0905428153042109,0.34112128600297875,1414.89316739983,0.6799947316866884,-0.1106863400630651,-0.025186123793545345,-0.03502752549947685,-0.01872645839416498,0.0,8495.0,0.07,454739.0,11822531.0,197937.0,382140.0,0.43,0
2025-01-21,52204.671875,13535702,-0.0074210973658075385,-0.03429607009744906,0.014402895015827033,51.45630049149656,-112.16907201733564,0.2454860406749988,0.08784798785849254,0.3493842866055776,1421.863080997032,0.7990898558159202,-0.059651409772009,-0.015681739537597328,-0.019300905980186744,-0.04672893559873559,0.0,42295.0,0.31,2263836.0,13535702.0,128593.0,224257.0,0.246,1
2025-01-22,52985.3046875,18341991,0.011173178110587045,-0.05235599350912967,0.03151424531615654,54.12846361576016,-65.84571470983215,0.2502481709164351,0.08334693593475175,0.49993140471272585,1421.8630903415058,1.1034595573691985,0.006051905671141888,-0.008952501785264522,-0.027928868489133674,-0.02946586457713285,0.0,38431.0,0.21,2070237.0,18341991.0,109444.0,248727.0,0.288,1
2025-01-23,52399.83203125,15588067,-0.011049717647242718,-0.042780725767544325,0.01058235537319585,46.66669208363198,-69.57108899053537,0.25237323146279866,0.0815608755287611,0.3581774532803751,1317.3143348067267,0.9324105033246964,-0.03937261330176811,-0.006301924363643185,-0.019507603380004346,-0.014897695059107208,0.0,70280.0,0.45,3777721.0,15588067.0,89221.0,209319.0,0.246,1
2025-01-24,52399.83203125,11867631,0.0,-0.028933029651936004,-0.006136687020293463,37.77780347715545,-66.94868461439364,0.24502948128987456,0.08211123012066751,0.36280255453013327,1226.7054299161657,0.7093759387041877,-0.05636818902616347,-0.00525053981241741,-0.04558730759556251,0.005586626328790922,1.0,7522.0,0.06,402778.0,11867631.0,151006.0,218155.0,0.27,0
2025-01-31,51131.30859375,42186279,-0.01872645839416498,-0.03142314098069332,-0.01572199141013586,34.69389422395457,-141.28669900840177,0.25462703750391097,0.08635623987709948,0.1009868012177927,1233.6752511999496,2.3036073148391556,-0.1062244822482784,-0.017663014578090275,-0.0518175097860728,0.02480913304172816,1.0,15521.0,0.04,811548.0,42186279.0,116233.0,167023.0,0.21999999999999997,0
2025-02-03,49765.203125,32344897,-0.04672893559873559,-0.053803252983664396,-0.05027933877113899,16.12907252581506,-265.8705276627513,0.26802577202408223,0.10182895866068817,-0.06870610419327511,1150.0363917204575,1.6678625434738819,-0.1699937675544051,-0.02128043920296674,-0.070730330442356,0.09019597654360023,1.0,355137.0,1.1,18102793.0,32344897.0,93323.0,174049.0,0.21400000000000002,0
2025-02-04,51424.046875,27214851,-0.02946586457713285,-0.018621913819648617,-0.009398428348007637,32.65310790866731,-221.76540408889974,0.2949242576317857,0.10351785114539257,0.24827592876968868,1219.7358222166295,1.3524566801939497,-0.1115745350416043,-0.0038009349391597835,-0.0436556878099843,0.05692596089074331,1.0,63682.0,0.23,3340545.0,27214851.0,378180.0,486891.0,0.372,0
