Date,Close,return_5d,return_10d,return_20d,rsi_14,macd_hist,hist_vol_20d,bb_width,bb_position,atr_14,volume_ratio_20d,obv_change_20d,excess_return_5d,excess_return_20d,future_return,label,ticker
2016-02-03,0.6870326399803162,-0.005641873050092339,0.02620082865318829,-0.1425967194686678,42.514013256310676,0.0028048440085847795,0.40142820007983504,0.1542825346141062,0.3673904972252081,0.02660770833317972,0.7922517539891161,-1.6847545852098427,-0.021092161633756046,-0.06165111482723773,0.0652481955702926,1.0,NVDA
2016-02-03,10.005008697509766,0.0736408726046891,0.060808816503339136,-0.04479367166288206,61.34119114754006,0.12296156209635023,0.43945594138674415,0.151883271919203,0.7166610097479496,0.39028999765923356,0.7984999549162899,1.9342729154114164,0.05819058402102528,0.036151932978547574,-0.032658336488414985,0.0,AVGO
2016-02-03,10.492476463317871,0.03561125925290032,0.07064667311718242,-0.2739540076770236,39.344282007315684,0.04532054872376534,0.7675013767580088,0.435457954445399,0.3612356163057418,0.7654824290327013,0.5445450788492284,-9.163392794237538,0.020160970669236722,-0.1930084030355934,0.06784395680884092,1.0,MU
2016-02-03,2.069999933242798,-0.02816909764057407,0.14999999337726155,-0.2472727515480735,43.91891772160158,0.016932865640989198,1.068146724937154,0.3021432429359542,0.3909912416777236,0.16714291061673844,0.5869436707948673,9.268271624923877,-0.043619386224237555,-0.1663271469066434,-0.07729467235815213,0.0,AMD
2016-02-03,17.562705993652344,0.05719599625844718,0.0867709801647143,0.04419154648469514,71.03460144573783,0.14066506452714095,0.37297937130163605,0.12108736912448913,1.0185031713370816,0.4975218331101094,1.261324925271762,-1.1560827521231074,0.04174570767478358,0.125137151126125,0.03839402965882832,1.0,TSM
2016-02-04,10.950789451599121,0.13549037644011253,0.0350232252385283,-0.21026733923758611,43.950991483851496,0.10161740235347883,0.788002646012761,0.37622412484828127,0.482950155740271,0.7738407400494465,0.7880345939961234,-74.0783752860412,0.10011292107637026,-0.1787085265373718,-0.0062331839931862865,0.0,MU
2016-02-04,10.3675537109375,0.07715409406855067,0.09307009697617108,0.021231728656225135,64.24296753060068,0.13593507626842172,0.4454580802271174,0.1587785020750229,0.9354897203239291,0.39235733645447063,0.8577088473739866,-0.42495814465656145,0.04177663870480819,0.05279054135643879,-0.0547310095842507,0.0,AVGO
2016-02-04,2.0899999141693115,0.0048076878990646055,0.0,-0.16733070832260366,45.89040749156758,0.01997069151247355,1.0323692929744321,0.2575651125442521,0.4459615697634276,0.16714292764663696,0.5105495580881999,2.400830889939752,-0.030569767464677877,-0.13577189562238978,-0.0861243803540801,0.0,AMD
2016-02-04,0.6872764825820923,0.005704312664819522,0.014748572515809633,-0.10529637626978605,46.46155015866838,0.0026944623413958577,0.38138299800957165,0.12702623146422373,0.3864109753500147,0.025702794050930962,0.8545418306743551,-0.6964425332290852,-0.02967314269892296,-0.07373756356957217,0.07904949496929303,1.0,NVDA
2016-02-04,17.800241470336914,0.07397130407874086,0.08907607723382505,0.0885655311001794,64.77995298218698,0.16064629470934028,0.3570847173510934,0.1381738343120699,1.02440431971846,0.43950500244502194,0.6288788195564399,-1.4881091096636168,0.03859384871499838,0.12012434380039305,0.023676304611445653,1.0,TSM
