Date,Close,Volume,return_5d,return_10d,return_20d,rsi_14,macd_hist,hist_vol_20d,bb_width,bb_position,atr_14,volume_ratio_20d,obv_change_20d,excess_return_5d,excess_return_20d,future_return,label
2015-02-02,21002.732421875,10521000,-0.015118780803872522,0.018614964284438873,0.026256416011907202,57.213969078559295,8.44624382413889,0.20983253456370216,0.09670916709167786,0.6324398995630872,395.8854294965625,0.8263844502110438,7.349095123033679,-0.023901223939249427,0.006979342431880031,0.004385962057206205,0.0
2015-02-03,20972.025390625,5654400,-0.024285907186062383,-0.004373267591680996,0.054826186174858016,55.329890562774814,-5.343483525730022,0.17833825657780025,0.08871803679629872,0.5977964580079599,396.98206105144317,0.4614967425523723,-16.502600078492936,-0.024060511021823716,0.017900896489279727,0.008052579715333241,1.0
2015-02-04,20864.55859375,9328900,-0.013788118859228926,-0.025806432785762223,0.0397859741050548,56.47670511247012,-22.2169369450026,0.17866052741091534,0.08226807994561636,0.5192617022743873,399.1753315439515,0.7772389600099645,6.551125802693256,-0.014405010872260426,-0.002128681065403537,0.005886645771734145,1.0
2015-02-05,20849.197265625,6770400,-0.0014706499997988454,-0.014514207754851016,0.03348509486564133,61.93158162557246,-34.210083078805894,0.17845709340815097,0.07658641984306505,0.48990798131805846,401.36858950907975,0.5827882748549463,1.6536036634626132,-0.0024034678442308444,0.008183889505840147,0.006627765663564933,1.0
2015-02-06,21064.14453125,8005050,0.005128045496387124,-0.010100791297644296,0.04413993171021491,58.895593001811434,-27.739918505684244,0.18088411405723467,0.07013515291947213,0.6052133358305833,406.85177898891715,0.6929646778502647,1.9913075026313733,0.0019165653786690218,0.028127010662126528,0.005102160977416226,1.0
2015-02-09,21417.26171875,8693500,0.019736922251280653,0.004319743246148144,0.06003038286959095,57.324776767627654,-1.155578684185798,0.1880494983200417,0.0654958289078933,0.8252835166666052,421.10809049285336,0.7513638916215817,1.4852051608270438,0.022645772423710686,0.04646935864184676,-0.014337150287105915,0.0
2015-02-10,21156.263671875,6519350,0.008784954138590706,-0.015714303628315385,0.02912658163266757,44.37094294319594,-2.5464242903896945,0.18720814332319743,0.06311465738487357,0.6175718133826594,407.9484836811379,0.5778751044843856,0.6488257265108639,0.0170330616347123,0.01936205188518425,-0.015239465779518069,0.0
2015-02-11,20803.142578125,9973800,-0.0029435569101086134,-0.016691089656792113,0.007434781440788019,42.67515407465267,-27.27193754761447,0.19754010202274905,0.06178788343307514,0.3420984242213468,411.23873812492457,0.9014913002401781,0.07590008763046541,0.005763481311253038,-0.00930796095855424,0.05018453773651421,1.0
2015-02-12,20634.26171875,10748200,-0.010309056225841995,-0.01176454521210446,0.007496183532237133,36.87525194259167,-53.50707655769875,0.19750521973851157,0.05957262594124481,0.19526249228269962,415.62527610341203,0.9864460267445064,0.175249991582775,-0.004568718495304491,-0.0068653522091404184,0.0550595556427218,1.0
2015-02-13,20895.263671875,6522900,-0.00801745635216533,-0.002930524736717399,0.034194503532987364,41.95416500947523,-51.75706014498604,0.19481410728936488,0.047627073850853775,0.3453339954161477,400.2726222398282,0.6186595141461374,0.9004631572152471,-0.009029964763725862,-0.002545548760971794,0.055841471251475205,1.0
